TIME_PERIOD,OBS_VALUE,OBS_EXCEPTION,OBS_STATUS,OBS_SOURCE,OBS_NOTE,COBER_GEO
01/01/1988,3.675147027,,,127,,0
02/01/1988,3.748086324,,,127,,0
01/02/1988,3.780023218,,,127,,0
02/02/1988,3.793792538,,,127,,0
01/03/1988,3.828572207,,,127,,0
02/03/1988,3.918414133,,,127,,0
01/04/1988,4.022962081,,,127,,0
02/04/1988,4.01181533,,,127,,0
01/05/1988,4.039328205,,,127,,0
02/05/1988,4.152166814,,,127,,0
01/06/1988,4.229793064,,,127,,0
02/06/1988,4.315304171,,,127,,0
01/07/1988,4.420344561,,,127,,0
02/07/1988,4.464230236,,,127,,0
01/08/1988,4.462003603,,,127,,0
02/08/1988,4.481695091,,,127,,0
01/09/1988,4.530329688,,,127,,0
02/09/1988,4.564165705,,,127,,0
01/10/1988,4.566862484,,,127,,0
02/10/1988,4.633770515,,,127,,0
01/11/1988,4.717826385,,,127,,0
02/11/1988,4.749862772,,,127,,0
01/12/1988,4.837786276,,,127,,0
02/12/1988,4.898322634,,,127,,0
01/01/1989,4.889206153,,,127,,0
02/01/1989,4.864019954,,,127,,0
01/02/1989,4.849918452,,,127,,0
02/02/1989,4.832013595,,,127,,0
01/03/1989,4.827350016,,,127,,0
02/03/1989,4.868681173,,,127,,0
01/04/1989,4.952947787,,,127,,0
02/04/1989,4.977947844,,,127,,0
01/05/1989,5.041518082,,,127,,0
02/05/1989,5.134720789,,,127,,0
01/06/1989,5.182404659,,,127,,0
02/06/1989,5.209807401,,,127,,0
01/07/1989,5.245789529,,,127,,0
02/07/1989,5.278973617,,,127,,0
01/08/1989,5.291951998,,,127,,0
02/08/1989,5.26071815,,,127,,0
01/09/1989,5.22067131,,,127,,0
02/09/1989,5.24067391,,,127,,0
01/10/1989,5.267173286,,,127,,0
02/10/1989,5.245605057,,,127,,0
01/11/1989,5.297580987,,,127,,0
02/11/1989,5.310507492,,,127,,0
01/12/1989,5.452335527,,,127,,0
02/12/1989,5.676569432,,,127,,0
01/01/1990,5.959218066,,,127,,0
02/01/1990,6.060987263,,,127,,0
01/02/1990,6.152520065,,,127,,0
02/02/1990,6.301461003,,,127,,0
01/03/1990,6.386180717,,,127,,0
02/03/1990,6.379033363,,,127,,0
01/04/1990,6.383950715,,,127,,0
02/04/1990,6.402727716,,,127,,0
01/05/1990,6.385776106,,,127,,0
02/05/1990,6.399224161,,,127,,0
01/06/1990,6.453622401,,,127,,0
02/06/1990,6.486836853,,,127,,0
01/07/1990,6.526551605,,,127,,0
02/07/1990,6.574486223,,,127,,0
01/08/1990,6.629739761,,,127,,0
02/08/1990,6.65110643,,,127,,0
01/09/1990,6.658252455,,,127,,0
02/09/1990,6.721424546,,,127,,0
01/10/1990,6.749125952,,,127,,0
02/10/1990,6.748357038,,,127,,0
01/11/1990,6.869672839,,,127,,0
02/11/1990,7.209304911,,,127,,0
01/12/1990,7.275404211,,,127,,0
02/12/1990,7.387593206,,,127,,0
01/01/1991,7.481309196,,,127,,0
02/01/1991,7.500500495,,,127,,0
01/02/1991,7.555567306,,,127,,0
02/02/1991,7.595012176,,,127,,0
01/03/1991,7.648227775,,,127,,0
02/03/1991,7.6876183,,,127,,0
01/04/1991,7.722799319,,,127,,0
02/04/1991,7.750240666,,,127,,0
01/05/1991,7.788684239,,,127,,0
02/05/1991,7.849559821,,,127,,0
01/06/1991,7.919946469,,,127,,0
02/06/1991,7.93544838,,,127,,0
01/07/1991,7.979994284,,,127,,0
02/07/1991,8.012296544,,,127,,0
01/08/1991,8.011013566,,,127,,0
02/08/1991,7.979078478,,,127,,0
01/09/1991,7.958249751,,,127,,0
02/09/1991,7.983254279,,,127,,0
01/10/1991,8.012253757,,,127,,0
